" "" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,0,1562,0.9949318766593933
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible . suffice to say its total promise is left slightly unfulfilled .",0,0,3114,0.9950346946716309
"complex , sinuously plotted and , somehow , off-puttingly cold .",0,0,3917,0.9939448237419128
"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people .",0,1,2682,0.9910300970077515
" . . . an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you'll wonder if lopez's publicist should share screenwriting credit .",0,0,1445,0.9958242177963257
"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab .",0,0,493,0.9952517747879028
could as easily have been called 'under siege 3 : in alcatraz' . . . a cinematic corpse that never springs to life .,0,0,3805,0.9951382279396057
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title . . . amounts to surprisingly little .,0,0,335,0.9946387410163879
lame sweet home leaves no southern stereotype unturned .,0,0,244,0.9929457306861877
"slow , dry , poorly cast , but beautifully shot .",0,0,3501,0.9938299059867859
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",0,0,652,0.9941979646682739
"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",0,0,688,0.9949150085449219
"in its chicken heart , crush goes to absurd lengths to duck the very issues it raises .",0,0,2881,0.9921046495437622
this long and relentlessly saccharine film is a clear case of preaching to the converted .,0,0,3361,0.9947110414505005
the film is flat .,0,0,3973,0.9943726062774658
the movie is a lumbering load of hokum but . . . it's at least watchable .,0,0,2663,0.9945762157440186
it's a boom-box of a movie that might have been titled 'the loud and the ludicrous' . . . the pandering to a moviegoing audience dominated by young males is all too calculated .,0,0,2752,0.9954959154129028
"an unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .",0,0,749,0.9934023022651672
the first fatal attraction was vile enough . do we really need the tiger beat version ?,0,0,2470,0.995489776134491
"this bond film goes off the beaten path , not necessarily for the better .",0,0,1610,0.9915869235992432
the problem is that the movie has no idea of it is serious or not .,0,0,5,0.9948142766952515
"when the fire burns out , we've only come face-to-face with a couple dragons and that's where the film ultimately fails .",0,0,1254,0.9957213401794434
it would work much better as a one-hour tv documentary .,0,0,3294,0.9945690631866455
the elements were all there but lack of a pyschological center knocks it flat .,0,0,755,0.994719386100769
anemic chronicle of money grubbing new yorkers and their serial loveless hook ups .,0,0,2001,0.9943150877952576
simply doesn't have sufficient heft to justify its two-hour running time .,0,0,3853,0.9941231608390808
an unsuccessful attempt at a movie of ideas .,0,0,3373,0.9939723610877991
"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame .",0,0,2151,0.9950203895568848
"this toothless dog , already on cable , loses all bite on the big screen .",0,0,2670,0.994519054889679
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .",0,0,4070,0.9931036829948425
"not only is it hokey , manipulative and as bland as wonder bread dipped in milk , but it also does the absolute last thing we need hollywood doing to us : it preaches .",0,0,499,0.9946072697639465
"it's so crammed with scenes and vistas and pretty moments that it's left a few crucial things out , like character development and coherence .",0,0,1588,0.9946920275688171
